model,prompting_type,cwe,tp,fp,tn,fn,accuracy,precision,recall,f1,tp_fpm,fp_fpm,tn_fpm,fn_fpm,recall_fpm,specificity_fpm,precision_fpm,bal_accuracy_fpm,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-4.1,cot,all,1154,43,1239,178,0.9155,0.9641,0.8664,0.9126,1154,43,401,6,0.9948,0.9032,0.9641,0.9490,1250.4501,0.0000,482.8921,0.0064,10.2079,6.2181,0
gpt-4.1,few-shot,CWE-22,118,57,78,15,0.7313,0.6743,0.8872,0.7662,118,57,37,0,1.0000,0.3936,0.6743,0.6968,2475.5330,0.0000,3.8255,0.0050,1.0561,0.6951,0
gpt-4.1,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2434.5393,0.0000,4.0000,0.0049,0.4362,0.6328,0
gpt-4.1,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2596.3308,0.0000,4.0000,0.0052,0.6792,0.5570,0
gpt-4.1,few-shot,CWE-78,115,45,80,11,0.7769,0.7188,0.9127,0.8042,115,45,26,0,1.0000,0.3662,0.7188,0.6831,2166.8978,0.0000,3.8602,0.0044,0.8118,0.9097,0
gpt-4.1,few-shot,CWE-89,196,66,166,76,0.7183,0.7481,0.7206,0.7341,196,66,46,0,1.0000,0.4107,0.7481,0.7054,2130.5909,0.0000,3.8506,0.0043,1.3219,0.6143,0
gpt-4.1,few-shot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,2460.0415,0.0000,3.9046,0.0050,1.1933,0.7153,0
gpt-4.1,few-shot,CWE-90,24,9,23,3,0.7966,0.7273,0.8889,0.8000,24,9,8,0,1.0000,0.4706,0.7273,0.7353,2384.6098,0.0000,3.8049,0.0048,0.1968,0.5688,0
gpt-4.1,few-shot,CWE-79,220,44,165,26,0.8462,0.8333,0.8943,0.8627,220,44,71,0,1.0000,0.6174,0.8333,0.8087,2490.8328,0.0000,3.7881,0.0050,1.6790,0.7138,0
gpt-4.1,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2196.8333,0.0000,4.0000,0.0044,0.1593,0.6222,0
gpt-4.1,few-shot,CWE-643,14,8,12,1,0.7429,0.6364,0.9333,0.7568,14,8,4,0,1.0000,0.3333,0.6364,0.6667,2237.2692,0.0000,3.8462,0.0045,0.1171,0.5212,0
gpt-4.1,few-shot,all,1160,229,1053,172,0.8466,0.8351,0.8709,0.8526,1160,229,215,0,1.0000,0.4842,0.8351,0.7421,2369.4501,0.0000,3.8660,0.0048,7.6508,0.6891,0
gpt-4.1,zero-shot,CWE-22,118,48,87,15,0.7649,0.7108,0.8872,0.7893,118,48,46,0,1.0000,0.4894,0.7108,0.7447,1338.5330,0.0000,3.7830,0.0027,0.5740,0.7243,0
gpt-4.1,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1297.5393,0.0000,4.0000,0.0026,0.2338,0.6024,0
gpt-4.1,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1459.3308,0.0000,4.0000,0.0030,0.3836,0.8350,0
gpt-4.1,zero-shot,CWE-78,115,41,84,11,0.7928,0.7372,0.9127,0.8156,115,41,30,0,1.0000,0.4225,0.7372,0.7113,1029.8978,0.0000,3.8387,0.0021,0.3888,0.6474,0
gpt-4.1,zero-shot,CWE-89,195,60,172,77,0.7282,0.7647,0.7169,0.7400,195,60,52,1,0.9949,0.4643,0.7647,0.7296,993.5909,0.0000,3.8279,0.0020,0.6215,0.7577,0
gpt-4.1,zero-shot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,1323.0415,0.0000,3.9046,0.0027,0.6452,0.6626,0
gpt-4.1,zero-shot,CWE-90,24,9,23,3,0.7966,0.7273,0.8889,0.8000,24,9,8,0,1.0000,0.4706,0.7273,0.7353,1247.6098,0.0000,3.8049,0.0025,0.1036,0.6781,0
gpt-4.1,zero-shot,CWE-79,217,40,169,29,0.8484,0.8444,0.8821,0.8628,217,40,75,3,0.9864,0.6522,0.8444,0.8193,1353.8328,0.0000,3.7672,0.0027,0.9172,0.5486,0
gpt-4.1,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1059.8333,0.0000,4.0000,0.0022,0.0775,0.7705,0
gpt-4.1,zero-shot,CWE-643,14,6,14,1,0.8000,0.7000,0.9333,0.8000,14,6,6,0,1.0000,0.5000,0.7000,0.7500,1100.2692,0.0000,3.7692,0.0022,0.0580,1.0018,0
gpt-4.1,zero-shot,all,1156,204,1078,176,0.8546,0.8500,0.8679,0.8588,1156,204,240,4,0.9966,0.5405,0.8500,0.7685,1232.4501,0.0000,3.8479,0.0025,4.0031,0.6824,0
gpt-5-mini,few-shot,CWE-22,101,0,135,32,0.8806,1.0000,0.7594,0.8632,101,0,94,17,0.8559,1.0000,1.0000,0.9280,2474.5330,445.8868,12.4858,0.0015,0.3255,4.6200,0
gpt-5-mini,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2433.5393,215.7303,13.0000,0.0011,0.0949,3.1595,0
gpt-5-mini,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2595.3308,155.5692,13.0000,0.0010,0.1282,2.5612,0
gpt-5-mini,few-shot,CWE-78,115,0,125,11,0.9562,1.0000,0.9127,0.9544,115,0,71,0,1.0000,1.0000,1.0000,1.0000,2165.8978,515.0968,12.6022,0.0016,0.2970,5.0604,0
gpt-5-mini,few-shot,CWE-89,196,0,232,76,0.8492,1.0000,0.7206,0.8376,196,0,112,0,1.0000,1.0000,1.0000,1.0000,2129.5909,281.1429,12.6299,0.0011,0.3449,3.5613,0
gpt-5-mini,few-shot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,2459.0415,338.0581,12.9087,0.0013,0.3173,3.9965,0
gpt-5-mini,few-shot,CWE-90,24,0,32,3,0.9492,1.0000,0.8889,0.9412,24,0,17,0,1.0000,1.0000,1.0000,1.0000,2383.6098,302.8293,12.5854,0.0012,0.0503,3.5630,0
gpt-5-mini,few-shot,CWE-79,220,0,209,26,0.9429,1.0000,0.8943,0.9442,220,0,115,0,1.0000,1.0000,1.0000,1.0000,2489.8328,377.5045,12.6627,0.0014,0.4699,4.7464,0
gpt-5-mini,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2195.8333,224.0000,13.0000,0.0010,0.0368,3.1689,0
gpt-5-mini,few-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,2236.2692,273.2308,12.5385,0.0011,0.0294,3.2431,0
gpt-5-mini,few-shot,all,1143,0,1282,189,0.9277,1.0000,0.8581,0.9236,1143,0,444,17,0.9853,1.0000,1.0000,0.9927,2368.4501,344.0599,12.7126,0.0013,2.0943,4.0707,0
gpt-5-mini,zero-shot,CWE-22,103,0,135,30,0.8881,1.0000,0.7744,0.8729,103,0,94,15,0.8729,1.0000,1.0000,0.9364,1337.5330,438.6415,12.4906,0.0012,0.2622,4.4214,0
gpt-5-mini,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1296.5393,258.1573,13.0000,0.0009,0.0771,3.3593,0
gpt-5-mini,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1458.3308,183.6308,13.0000,0.0008,0.0985,2.8022,0
gpt-5-mini,zero-shot,CWE-78,115,0,125,11,0.9562,1.0000,0.9127,0.9544,115,0,71,0,1.0000,1.0000,1.0000,1.0000,1028.8978,527.4839,12.6183,0.0013,0.2488,6.2222,0
gpt-5-mini,zero-shot,CWE-89,196,0,232,76,0.8492,1.0000,0.7206,0.8376,196,0,112,0,1.0000,1.0000,1.0000,1.0000,992.5909,296.7273,12.6364,0.0009,0.2670,3.4873,0
gpt-5-mini,zero-shot,CWE-330,217,0,275,1,0.9980,1.0000,0.9954,0.9977,217,0,23,1,0.9954,1.0000,1.0000,0.9977,1322.0415,388.7801,12.9087,0.0011,0.2733,5.0202,0
gpt-5-mini,zero-shot,CWE-90,24,0,32,3,0.9492,1.0000,0.8889,0.9412,24,0,17,0,1.0000,1.0000,1.0000,1.0000,1246.6098,323.1220,12.5854,0.0010,0.0403,3.6104,0
gpt-5-mini,zero-shot,CWE-79,220,1,208,26,0.9407,0.9955,0.8943,0.9422,220,1,114,0,1.0000,0.9913,0.9955,0.9957,1352.8328,391.2597,12.6746,0.0011,0.3839,4.8326,0
gpt-5-mini,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1058.8333,229.3333,13.0000,0.0007,0.0270,2.8723,0
gpt-5-mini,zero-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,1099.2692,265.8462,12.5769,0.0008,0.0216,3.4886,0
gpt-5-mini,zero-shot,all,1144,1,1281,188,0.9277,0.9991,0.8589,0.9237,1144,1,443,16,0.9862,0.9977,0.9991,0.9920,1231.4501,363.1721,12.7195,0.0011,1.6997,4.3659,0
gpt-5-nano,few-shot,CWE-22,102,9,126,31,0.8507,0.9189,0.7669,0.8361,102,9,85,16,0.8644,0.9043,0.9189,0.8843,2474.5330,954.5660,12.6415,0.0005,0.1082,6.9810,0
gpt-5-nano,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2433.5393,758.6517,13.0112,0.0004,0.0383,5.0338,0
gpt-5-nano,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2595.3308,578.9538,13.0385,0.0004,0.0477,4.2748,0
gpt-5-nano,few-shot,CWE-78,113,13,112,13,0.8964,0.8968,0.8968,0.8968,113,13,58,2,0.9826,0.8169,0.8968,0.8998,2165.8978,1345.3763,12.7419,0.0007,0.1212,8.0843,0
gpt-5-nano,few-shot,CWE-89,195,24,208,77,0.7996,0.8904,0.7169,0.7943,195,24,88,1,0.9949,0.7857,0.8904,0.8903,2129.5909,784.6234,12.8019,0.0004,0.1310,6.4174,0
gpt-5-nano,few-shot,CWE-330,218,1,274,0,0.9980,0.9954,1.0000,0.9977,218,1,22,0,1.0000,0.9565,0.9954,0.9783,2459.0415,651.6846,12.9627,0.0004,0.0937,5.2900,0
gpt-5-nano,few-shot,CWE-90,24,1,31,3,0.9322,0.9600,0.8889,0.9231,24,1,16,0,1.0000,0.9412,0.9600,0.9706,2383.6098,752.3902,12.6585,0.0004,0.0174,5.0395,0
gpt-5-nano,few-shot,CWE-79,219,7,202,27,0.9253,0.9690,0.8902,0.9280,219,7,108,1,0.9955,0.9391,0.9690,0.9673,2489.8328,950.2567,12.7701,0.0005,0.1708,7.6119,0
gpt-5-nano,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2195.8333,622.2222,13.0000,0.0004,0.0131,9.7333,0
gpt-5-nano,few-shot,CWE-643,14,2,18,1,0.9143,0.8750,0.9333,0.9032,14,2,10,0,1.0000,0.8333,0.8750,0.9167,2236.2692,768.0000,12.6154,0.0004,0.0110,4.9684,0
gpt-5-nano,few-shot,all,1140,57,1225,192,0.9047,0.9524,0.8559,0.9015,1140,57,387,20,0.9828,0.8716,0.9524,0.9272,2368.4501,863.8803,12.8198,0.0005,0.7524,6.5306,0
gpt-5-nano,zero-shot,CWE-22,105,2,133,28,0.8881,0.9813,0.7895,0.8750,105,2,92,13,0.8898,0.9787,0.9813,0.9343,1337.5330,985.9623,12.6415,0.0005,0.0989,5.1911,0
gpt-5-nano,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1296.5393,798.2022,13.0787,0.0004,0.0347,4.4678,0
gpt-5-nano,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1458.3308,534.1538,13.0385,0.0003,0.0379,3.5945,0
gpt-5-nano,zero-shot,CWE-78,115,3,122,11,0.9442,0.9746,0.9127,0.9426,115,3,68,0,1.0000,0.9577,0.9746,0.9789,1028.8978,1409.0323,12.7473,0.0006,0.1153,9.1384,0
gpt-5-nano,zero-shot,CWE-89,196,5,227,76,0.8393,0.9751,0.7206,0.8288,196,5,107,0,1.0000,0.9554,0.9751,0.9777,992.5909,898.2857,12.8019,0.0004,0.1275,4.9758,0
gpt-5-nano,zero-shot,CWE-330,218,4,271,0,0.9919,0.9820,1.0000,0.9909,218,4,19,0,1.0000,0.8261,0.9820,0.9130,1322.0415,694.4398,12.9793,0.0003,0.0841,4.3358,0
gpt-5-nano,zero-shot,CWE-90,24,0,32,3,0.9492,1.0000,0.8889,0.9412,24,0,17,0,1.0000,1.0000,1.0000,1.0000,1246.6098,871.0244,12.7073,0.0004,0.0170,4.8005,0
gpt-5-nano,zero-shot,CWE-79,220,2,207,26,0.9385,0.9910,0.8943,0.9402,220,2,113,0,1.0000,0.9826,0.9910,0.9913,1352.8328,937.6478,12.7642,0.0004,0.1500,5.6878,0
gpt-5-nano,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1058.8333,670.2222,13.0278,0.0003,0.0117,3.9743,0
gpt-5-nano,zero-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,1099.2692,844.3077,12.5385,0.0004,0.0103,4.8619,0
gpt-5-nano,zero-shot,all,1147,16,1266,185,0.9231,0.9862,0.8611,0.9194,1147,16,428,13,0.9888,0.9640,0.9862,0.9764,1231.4501,904.9377,12.8261,0.0004,0.6876,5.3706,0
gpt-5,few-shot,CWE-22,101,0,135,32,0.8806,1.0000,0.7594,0.8632,101,0,94,17,0.8559,1.0000,1.0000,0.9280,2474.5330,793.3585,12.4811,0.0112,2.3641,12.4365,0
gpt-5,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2433.5393,388.3146,13.0000,0.0071,0.6279,12.2001,0
gpt-5,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2595.3308,279.6308,13.0000,0.0062,0.8022,4.7625,0
gpt-5,few-shot,CWE-78,115,0,125,11,0.9562,1.0000,0.9127,0.9544,115,0,71,0,1.0000,1.0000,1.0000,1.0000,2165.8978,979.6129,12.6290,0.0126,2.3491,13.3399,0
gpt-5,few-shot,CWE-89,196,0,232,76,0.8492,1.0000,0.7206,0.8376,196,0,112,0,1.0000,1.0000,1.0000,1.0000,2129.5909,427.4286,12.6429,0.0071,2.1753,7.1565,0
gpt-5,few-shot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,2459.0415,677.7095,12.9046,0.0100,2.4052,11.2771,0
gpt-5,few-shot,CWE-90,24,0,32,3,0.9492,1.0000,0.8889,0.9412,24,0,17,0,1.0000,1.0000,1.0000,1.0000,2383.6098,544.7805,12.5854,0.0086,0.3507,12.4596,0
gpt-5,few-shot,CWE-79,220,0,209,26,0.9429,1.0000,0.8943,0.9442,220,0,115,0,1.0000,1.0000,1.0000,1.0000,2489.8328,616.5015,12.6687,0.0094,3.1503,10.5820,0
gpt-5,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2195.8333,391.1111,13.0000,0.0068,0.2443,6.0738,0
gpt-5,few-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,2236.2692,465.2308,12.5385,0.0076,0.1969,6.9739,0
gpt-5,few-shot,all,1143,0,1282,189,0.9277,1.0000,0.8581,0.9236,1143,0,444,17,0.9853,1.0000,1.0000,0.9927,2368.4501,605.5661,12.7182,0.0091,14.6660,10.1000,0
gpt-5,zero-shot,CWE-22,101,0,135,32,0.8806,1.0000,0.7594,0.8632,101,0,94,17,0.8559,1.0000,1.0000,0.9280,1337.5330,800.6038,12.4858,0.0098,2.0782,13.3191,0
gpt-5,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1296.5393,337.2584,13.0000,0.0051,0.4560,7.6211,0
gpt-5,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1458.3308,276.1846,13.0000,0.0047,0.6129,4.6179,0
gpt-5,zero-shot,CWE-78,115,0,125,11,0.9562,1.0000,0.9127,0.9544,115,0,71,0,1.0000,1.0000,1.0000,1.0000,1028.8978,1004.0430,12.6344,0.0115,2.1302,14.7704,0
gpt-5,zero-shot,CWE-89,196,0,232,76,0.8492,1.0000,0.7206,0.8376,196,0,112,0,1.0000,1.0000,1.0000,1.0000,992.5909,466.4935,12.6364,0.0060,1.8579,7.3347,0
gpt-5,zero-shot,CWE-330,216,0,275,2,0.9959,1.0000,0.9908,0.9954,216,0,23,2,0.9908,1.0000,1.0000,0.9954,1322.0415,669.2116,12.8963,0.0085,2.0421,12.6005,0
gpt-5,zero-shot,CWE-90,24,0,32,3,0.9492,1.0000,0.8889,0.9412,24,0,17,0,1.0000,1.0000,1.0000,1.0000,1246.6098,576.0000,12.5854,0.0074,0.3052,7.6767,0
gpt-5,zero-shot,CWE-79,220,0,209,26,0.9429,1.0000,0.8943,0.9442,220,0,115,0,1.0000,1.0000,1.0000,1.0000,1352.8328,621.2776,12.6627,0.0080,2.6902,10.2076,0
gpt-5,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1058.8333,320.0000,13.0000,0.0047,0.1675,5.1006,0
gpt-5,zero-shot,CWE-643,14,0,20,1,0.9714,1.0000,0.9333,0.9655,14,0,12,0,1.0000,1.0000,1.0000,1.0000,1099.2692,499.6923,12.5385,0.0065,0.1689,7.3688,0
gpt-5,zero-shot,all,1141,0,1282,191,0.9269,1.0000,0.8566,0.9228,1141,0,444,19,0.9836,1.0000,1.0000,0.9918,1231.4501,613.2269,12.7157,0.0078,12.5092,10.1340,0
mistral-medium-2505,cot,CWE-22,118,43,92,15,0.7836,0.7329,0.8872,0.8027,118,43,51,0,1.0000,0.5426,0.7329,0.7713,1413.0377,0.0000,397.1415,0.0014,0.2882,10.1081,0
mistral-medium-2505,cot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1356.5506,0.0000,291.1011,0.0011,0.1001,7.6615,0
mistral-medium-2505,cot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1534.7385,0.0000,218.3231,0.0011,0.1366,6.3061,0
mistral-medium-2505,cot,CWE-78,115,37,88,11,0.8088,0.7566,0.9127,0.8273,115,37,34,0,1.0000,0.4789,0.7566,0.7394,1069.0054,0.0000,392.0430,0.0012,0.2254,10.1298,0
mistral-medium-2505,cot,CWE-89,196,53,179,76,0.7440,0.7871,0.7206,0.7524,196,53,59,0,1.0000,0.5268,0.7871,0.7634,1035.0130,0.0000,362.7695,0.0011,0.3510,9.6220,0
mistral-medium-2505,cot,CWE-330,218,6,269,0,0.9878,0.9732,1.0000,0.9864,218,6,17,0,1.0000,0.7391,0.9732,0.8696,1381.9170,0.0000,290.1618,0.0011,0.2731,8.0167,0
mistral-medium-2505,cot,CWE-90,24,6,26,3,0.8475,0.8000,0.8889,0.8421,24,6,11,0,1.0000,0.6471,0.8000,0.8235,1334.3171,0.0000,375.6098,0.0013,0.0527,9.9948,0
mistral-medium-2505,cot,CWE-79,220,41,168,26,0.8527,0.8429,0.8943,0.8679,220,41,74,0,1.0000,0.6435,0.8429,0.8217,1397.1642,0.0000,374.3075,0.0013,0.4380,9.7818,0
mistral-medium-2505,cot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1099.0278,0.0000,309.0278,0.0011,0.0381,7.8817,0
mistral-medium-2505,cot,CWE-643,14,4,16,1,0.8571,0.7778,0.9333,0.8485,14,4,8,0,1.0000,0.6667,0.7778,0.8333,1165.7308,0.0000,378.3077,0.0012,0.0318,9.4367,0
mistral-medium-2505,cot,all,1160,190,1092,172,0.8615,0.8593,0.8709,0.8650,1160,190,254,0,1.0000,0.5721,0.8593,0.7860,1286.2251,0.0000,345.8978,0.0012,1.9349,9.1273,0
mistral-medium-2505,few-shot,CWE-22,118,92,43,15,0.6007,0.5619,0.8872,0.6880,118,92,2,0,1.0000,0.0213,0.5619,0.5106,2556.0377,0.0000,4.9811,0.0010,0.2189,1.2969,0
mistral-medium-2505,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2499.5506,0.0000,5.0000,0.0010,0.0899,1.5415,0
mistral-medium-2505,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2677.7385,0.0000,5.0000,0.0011,0.1405,1.6073,0
mistral-medium-2505,few-shot,CWE-78,115,71,54,11,0.6733,0.6183,0.9127,0.7372,115,71,0,0,1.0000,0.0000,0.6183,0.5000,2212.0054,0.0000,5.0000,0.0009,0.1664,1.7114,0
mistral-medium-2505,few-shot,CWE-89,196,112,120,76,0.6270,0.6364,0.7206,0.6759,196,112,0,0,1.0000,0.0000,0.6364,0.5000,2178.0130,0.0000,5.0000,0.0009,0.2714,1.6032,0
mistral-medium-2505,few-shot,CWE-330,218,23,252,0,0.9533,0.9046,1.0000,0.9499,218,23,0,0,1.0000,0.0000,0.9046,0.5000,2524.9170,0.0000,5.0000,0.0010,0.2458,1.4702,0
mistral-medium-2505,few-shot,CWE-90,24,17,15,3,0.6610,0.5854,0.8889,0.7059,24,17,0,0,1.0000,0.0000,0.5854,0.5000,2477.3171,0.0000,5.0000,0.0010,0.0410,1.4384,0
mistral-medium-2505,few-shot,CWE-79,220,76,133,26,0.7758,0.7432,0.8943,0.8118,220,76,39,0,1.0000,0.3391,0.7432,0.6696,2540.1642,0.0000,4.7672,0.0010,0.3436,1.4911,0
mistral-medium-2505,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2242.0278,0.0000,5.0000,0.0009,0.0326,1.3667,0
mistral-medium-2505,few-shot,CWE-643,14,11,9,1,0.6571,0.5600,0.9333,0.7000,14,11,1,0,1.0000,0.0833,0.5600,0.5417,2308.7308,0.0000,4.9231,0.0009,0.0243,1.8247,0
mistral-medium-2505,few-shot,all,1160,402,880,172,0.7804,0.7426,0.8709,0.8017,1160,402,42,0,1.0000,0.0946,0.7426,0.5473,2429.2251,0.0000,4.9476,0.0010,1.5745,1.5228,0
mistral-medium-2505,zero-shot,CWE-22,118,94,41,15,0.5933,0.5566,0.8872,0.6841,118,94,0,0,1.0000,0.0000,0.5566,0.5000,1395.0377,0.0000,5.0000,0.0006,0.1204,3.1579,0
mistral-medium-2505,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1338.5506,0.0000,5.0000,0.0005,0.0485,1.5762,0
mistral-medium-2505,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1516.7385,0.0000,5.0000,0.0006,0.0802,1.6264,0
mistral-medium-2505,zero-shot,CWE-78,115,71,54,11,0.6733,0.6183,0.9127,0.7372,115,71,0,0,1.0000,0.0000,0.6183,0.5000,1051.0054,0.0000,5.0000,0.0004,0.0801,1.6695,0
mistral-medium-2505,zero-shot,CWE-89,196,112,120,76,0.6270,0.6364,0.7206,0.6759,196,112,0,0,1.0000,0.0000,0.6364,0.5000,1017.0130,0.0000,5.0000,0.0004,0.1284,1.4535,0
mistral-medium-2505,zero-shot,CWE-330,218,23,252,0,0.9533,0.9046,1.0000,0.9499,218,23,0,0,1.0000,0.0000,0.9046,0.5000,1363.9170,0.0000,5.0000,0.0006,0.1339,1.5334,0
mistral-medium-2505,zero-shot,CWE-90,24,17,15,3,0.6610,0.5854,0.8889,0.7059,24,17,0,0,1.0000,0.0000,0.5854,0.5000,1316.3171,0.0000,5.0000,0.0005,0.0220,1.7485,0
mistral-medium-2505,zero-shot,CWE-79,220,83,126,26,0.7604,0.7261,0.8943,0.8015,220,83,32,0,1.0000,0.2783,0.7261,0.6391,1379.1642,0.0000,4.8090,0.0006,0.1880,1.9708,0
mistral-medium-2505,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1081.0278,0.0000,5.0000,0.0004,0.0159,2.9756,0
mistral-medium-2505,zero-shot,CWE-643,14,12,8,1,0.6286,0.5385,0.9333,0.6829,14,12,0,0,1.0000,0.0000,0.5385,0.5000,1147.7308,0.0000,5.0000,0.0005,0.0122,1.2118,0
mistral-medium-2505,zero-shot,all,1160,412,870,172,0.7766,0.7379,0.8709,0.7989,1160,412,32,0,1.0000,0.0721,0.7379,0.5360,1268.2251,0.0000,4.9601,0.0005,0.8296,1.8825,0
o3,few-shot,CWE-22,104,1,134,29,0.8881,0.9905,0.7820,0.8739,104,1,93,14,0.8814,0.9894,0.9905,0.9354,2481.5330,447.0943,21.5094,0.0087,1.8469,8.3161,0
o3,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2440.5393,150.2921,22.0000,0.0063,0.5571,3.1959,0
o3,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2602.3308,119.6308,22.0000,0.0063,0.8239,3.2191,0
o3,few-shot,CWE-78,114,1,124,12,0.9482,0.9913,0.9048,0.9461,114,1,70,1,0.9913,0.9859,0.9913,0.9886,2172.8978,594.9247,21.6398,0.0093,1.7258,8.7498,0
o3,few-shot,CWE-89,196,4,228,76,0.8413,0.9800,0.7206,0.8305,196,4,108,0,1.0000,0.9643,0.9800,0.9821,2136.5909,269.9221,21.6494,0.0066,2.0346,4.9366,0
