model,prompting_type,cwe,tp,fp,tn,fn,accuracy,precision,recall,f1,tp_fpm,fp_fpm,tn_fpm,fn_fpm,recall_fpm,specificity_fpm,precision_fpm,bal_accuracy_fpm,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
DeepSeek-V3-0324,zero-shot,CWE-330,218,22,253,0,0.9554,0.9083,1.0000,0.9520,218,22,1,0,1.0000,0.0435,0.9083,0.5217,1328.1535,0.0000,3.9959,0.0020,0.4797,1.3281,0
DeepSeek-V3-0324,zero-shot,CWE-90,24,17,15,3,0.6610,0.5854,0.8889,0.7059,24,17,0,0,1.0000,0.0000,0.5854,0.5000,1317.5610,0.0000,4.0000,0.0020,0.0810,4.0340,0
DeepSeek-V3-0324,zero-shot,CWE-79,220,86,123,26,0.7538,0.7190,0.8943,0.7971,220,86,29,0,1.0000,0.2522,0.7190,0.6261,1362.3701,0.0000,3.9134,0.0020,0.6837,3.2076,0
DeepSeek-V3-0324,zero-shot,CWE-614,34,0,31,2,0.9701,1.0000,0.9444,0.9714,34,0,0,2,0.9444,0.0000,1.0000,0.4722,1063.4722,0.0000,3.9444,0.0016,0.0575,1.1409,0
DeepSeek-V3-0324,zero-shot,CWE-643,14,12,8,1,0.6286,0.5385,0.9333,0.6829,14,12,0,0,1.0000,0.0000,0.5385,0.5000,1155.0000,0.0000,4.0000,0.0017,0.0451,1.2543,0
DeepSeek-V3-0324,zero-shot,all,1157,413,868,174,0.7753,0.7369,0.8693,0.7977,1157,413,30,2,0.9983,0.0677,0.7369,0.5330,1245.5112,0.0000,3.9751,0.0019,2.9958,2.0781,2
gemini-2.5-flash,few-shot,CWE-22,115,4,131,18,0.9179,0.9664,0.8647,0.9127,115,4,90,3,0.9746,0.9574,0.9664,0.9660,2687.4953,1037.6557,2.0000,0.0034,0.7219,5.1501,0
gemini-2.5-flash,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2678.6517,608.6966,2.0000,0.0023,0.2074,3.6208,0
gemini-2.5-flash,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2883.5385,267.4692,2.0000,0.0015,0.2000,2.0695,0
gemini-2.5-flash,few-shot,CWE-78,115,11,114,11,0.9124,0.9127,0.9127,0.9127,115,11,60,0,1.0000,0.8451,0.9127,0.9225,2348.4140,1179.3548,2.0000,0.0037,0.6804,5.8462,0
gemini-2.5-flash,few-shot,CWE-89,196,7,225,76,0.8353,0.9655,0.7206,0.8253,196,7,105,0,1.0000,0.9375,0.9655,0.9688,2304.8506,894.5909,2.0000,0.0029,0.9033,4.6115,0
gemini-2.5-flash,few-shot,CWE-330,218,0,275,0,1.0000,1.0000,1.0000,1.0000,218,0,23,0,1.0000,1.0000,1.0000,1.0000,2682.5685,565.8880,2.0000,0.0022,0.5361,3.3075,0
gemini-2.5-flash,few-shot,CWE-90,24,3,29,3,0.8983,0.8889,0.8889,0.8889,24,3,14,0,1.0000,0.8235,0.8889,0.9118,2634.0488,870.6098,2.0000,0.0030,0.1218,4.5501,0
gemini-2.5-flash,few-shot,CWE-79,220,9,200,26,0.9231,0.9607,0.8943,0.9263,220,9,106,0,1.0000,0.9217,0.9607,0.9609,2640.3313,901.7493,2.0000,0.0031,1.0222,4.8254,0
gemini-2.5-flash,few-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,2374.6111,403.0000,2.0000,0.0017,0.0621,2.4680,0
gemini-2.5-flash,few-shot,CWE-643,14,1,19,1,0.9429,0.9333,0.9333,0.9333,14,1,11,0,1.0000,0.9167,0.9333,0.9583,2466.4231,860.9231,2.0000,0.0029,0.0753,4.4822,0
gemini-2.5-flash,few-shot,all,1157,35,1247,175,0.9197,0.9706,0.8686,0.9168,1157,35,409,3,0.9974,0.9212,0.9706,0.9593,2567.5355,819.7469,2.0000,0.0028,4.5307,4.3618,0
gemini-2.5-flash,zero-shot,CWE-22,115,11,124,18,0.8918,0.9127,0.8647,0.8880,115,11,83,3,0.9746,0.8830,0.9127,0.9288,1493.4953,1196.4104,2.0000,0.0034,0.7301,5.8239,0
gemini-2.5-flash,zero-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,1484.6517,757.6854,2.0000,0.0023,0.2087,4.3839,0
gemini-2.5-flash,zero-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,1689.5385,273.1000,2.0000,0.0012,0.1553,2.0127,0
gemini-2.5-flash,zero-shot,CWE-78,115,15,110,11,0.8964,0.8846,0.9127,0.8984,115,15,56,0,1.0000,0.7887,0.8846,0.8944,1154.4140,1362.7043,2.0000,0.0038,0.6990,6.7047,0
gemini-2.5-flash,zero-shot,CWE-89,196,12,220,76,0.8254,0.9423,0.7206,0.8167,196,12,100,0,1.0000,0.8929,0.9423,0.9464,1110.8506,909.0097,2.0000,0.0026,0.8041,4.6528,0
gemini-2.5-flash,zero-shot,CWE-330,218,4,271,0,0.9919,0.9820,1.0000,0.9909,218,4,19,0,1.0000,0.8261,0.9820,0.9130,1488.5685,634.4357,2.0000,0.0020,0.4911,3.6028,0
gemini-2.5-flash,zero-shot,CWE-90,24,3,29,3,0.8983,0.8889,0.8889,0.8889,24,3,14,0,1.0000,0.8235,0.8889,0.9118,1440.0488,908.8537,2.0000,0.0027,0.1111,4.7244,0
gemini-2.5-flash,zero-shot,CWE-79,220,7,202,26,0.9275,0.9692,0.8943,0.9302,220,7,108,0,1.0000,0.9391,0.9692,0.9696,1446.3313,931.4269,2.0000,0.0028,0.9271,4.9053,0
gemini-2.5-flash,zero-shot,CWE-614,36,0,31,0,1.0000,1.0000,1.0000,1.0000,36,0,0,0,1.0000,0.0000,1.0000,0.5000,1180.6111,420.8611,2.0000,0.0014,0.0508,2.6776,0
gemini-2.5-flash,zero-shot,CWE-643,14,1,19,1,0.9429,0.9333,0.9333,0.9333,14,1,11,0,1.0000,0.9167,0.9333,0.9583,1272.4231,814.4231,2.0000,0.0024,0.0630,4.2389,0
gemini-2.5-flash,zero-shot,all,1157,53,1229,175,0.9128,0.9562,0.8686,0.9103,1157,53,391,3,0.9974,0.8806,0.9562,0.9390,1373.5355,890.6047,2.0000,0.0026,4.2403,4.6624,0
gemini-2.5-pro,few-shot,CWE-22,115,0,135,18,0.9328,1.0000,0.8647,0.9274,115,0,94,3,0.9746,1.0000,1.0000,0.9873,2687.4953,1092.6698,2.0000,0.0143,3.0329,10.4187,0
gemini-2.5-pro,few-shot,CWE-328,89,0,107,40,0.8305,1.0000,0.6899,0.8165,89,0,0,0,1.0000,0.0000,1.0000,0.5000,2678.6517,818.0899,2.0000,0.0115,1.0279,8.5770,0
gemini-2.5-pro,few-shot,CWE-327,130,0,116,0,1.0000,1.0000,1.0000,1.0000,130,0,0,0,1.0000,0.0000,1.0000,0.5000,2883.5385,541.0538,2.0000,0.0090,1.1745,6.0998,0
gemini-2.5-pro,few-shot,CWE-78,115,1,124,11,0.9522,0.9914,0.9127,0.9504,115,1,70,0,1.0000,0.9859,0.9914,0.9930,2348.4140,1205.8333,2.0000,0.0150,2.7926,11.4669,0
gemini-2.5-pro,few-shot,CWE-89,196,9,223,76,0.8313,0.9561,0.7206,0.8218,196,9,103,0,1.0000,0.9196,0.9561,0.9598,2304.8506,1170.4935,2.0000,0.0146,4.4986,11.2994,0
gemini-2.5-pro,few-shot,CWE-330,218,2,273,0,0.9959,0.9909,1.0000,0.9954,218,2,21,0,1.0000,0.9130,0.9909,0.9565,2682.5685,765.0996,2.0000,0.0110,2.6568,7.7400,0
gemini-2.5-pro,few-shot,CWE-90,24,0,32,3,0.9492,1.0000,0.8889,0.9412,24,0,17,0,1.0000,1.0000,1.0000,1.0000,2634.0488,1005.9268,2.0000,0.0134,0.5482,9.5558,0
gemini-2.5-pro,few-shot,CWE-79,220,1,208,26,0.9407,0.9955,0.8943,0.9422,220,1,114,0,1.0000,0.9913,0.9955,0.9957,2640.3313,1144.5224,2.0000,0.0148,4.9465,10.8639,0
