model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
gpt-5-nano,zero-shot,CWE-22,1.0000,113,18,117,20,0.8582,0.8626,0.8496,0.8561,618.8619,2468.5373,15.4291,0.0010,0.2746,13.3031,0
gpt-5-nano,zero-shot,CWE-328,1.0000,3,0,107,126,0.4661,1.0000,0.0233,0.0455,858.4619,3608.9492,16.3220,0.0015,0.3524,18.2188,0
gpt-5-nano,zero-shot,CWE-327,1.0000,130,33,83,0,0.8659,0.7975,1.0000,0.8874,1039.8252,3594.6667,18.1341,0.0015,0.3683,18.9452,0
gpt-5-nano,zero-shot,CWE-78,1.0000,95,29,96,31,0.7610,0.7661,0.7540,0.7600,597.3347,2492.4303,14.3466,0.0010,0.2592,13.8433,0
gpt-5-nano,zero-shot,CWE-89,1.0000,272,51,181,0,0.8988,0.8421,1.0000,0.9143,595.3095,2031.3651,14.9345,0.0008,0.4275,11.9612,0
gpt-5-nano,zero-shot,CWE-330,1.0000,112,82,193,106,0.6187,0.5773,0.5138,0.5437,845.3813,4266.7099,16.4300,0.0018,0.8655,21.2956,0
gpt-5-nano,zero-shot,CWE-90,1.0000,27,11,21,0,0.8136,0.7105,1.0000,0.8308,829.2712,2442.8475,17.2203,0.0010,0.0605,13.5835,0
gpt-5-nano,zero-shot,CWE-79,1.0000,244,28,181,2,0.9341,0.8971,0.9919,0.9421,455.9231,1970.2154,14.4835,0.0008,0.3716,11.2291,0
gpt-5-nano,zero-shot,CWE-614,1.0000,16,0,31,20,0.7015,1.0000,0.4444,0.6154,652.5373,3118.8060,14.9701,0.0013,0.0862,16.8239,0
gpt-5-nano,zero-shot,CWE-643,1.0000,15,2,18,0,0.9429,0.8824,1.0000,0.9375,769.1429,3115.8857,14.8000,0.0013,0.0452,16.8666,0
gpt-5-nano,zero-shot,all,1.0000,1027,254,1028,305,0.7862,0.8017,0.7710,0.7861,695.4862,2872.6305,15.6094,0.0012,3.1108,15.3617,0
