model,prompting_type,cwe,direct_match_percentage,tp,fp,tn,fn,accuracy,precision,recall,f1,avg_input_tokens,avg_reasoning_tokens,avg_output_tokens,avg_cost,total_cost,avg_time,total_errors
special-high-gpt-5-mini,zero-shot,CWE-89,1,272,36,196,0,0.9286,0.8831,1,0.9379,595.3095,3936.254,15.3631,0.0081,4.0582,36.0911,0
special-high-gpt-5-mini,zero-shot,CWE-330,0.5292,217,108,167,1,0.7789,0.6677,0.9954,0.7993,845.3813,7257.7039,16.7972,0.0148,7.2769,59.1567,0
special-high-gpt-5-mini,zero-shot,CWE-90,1,27,6,26,0,0.8983,0.8182,1,0.9,829.2712,4103.5932,17.5424,0.0084,0.4985,34.3531,0
special-high-gpt-5-mini,zero-shot,CWE-79,1,246,30,179,0,0.9341,0.8913,1,0.9425,455.9231,2528.4923,14.2901,0.0052,2.3658,23.478,0
special-high-gpt-5-mini,zero-shot,CWE-614,1,28,0,31,8,0.8806,1,0.7778,0.875,652.5373,5438.0896,17.209,0.0111,0.7419,47.0516,0
special-high-gpt-5-mini,zero-shot,CWE-643,1,15,1,19,0,0.9714,0.9375,1,0.9677,769.1429,4911.5429,13.7429,0.01,0.3515,45.13,0
special-high-gpt-5-mini,zero-shot,all,0.8033,1286,285,997,46,0.8734,0.8186,0.9655,0.886,695.4862,4992.6121,16.5505,0.0102,26.6424,42.9373,0
special-high-gpt-5-nano,zero-shot,CWE-22,0.9549,114,19,116,19,0.8582,0.8571,0.8571,0.8571,618.8619,8023.6418,17.0112,0.0032,0.8703,39.9881,0
special-high-gpt-5-nano,zero-shot,CWE-328,0.0096,96,8,99,33,0.8263,0.9231,0.7442,0.824,858.4619,10982.5085,17.7839,0.0044,1.0486,53.4991,0
special-high-gpt-5-nano,zero-shot,CWE-327,1,129,28,88,1,0.8821,0.8217,0.9923,0.899,1039.8252,10295.4146,19.6341,0.0042,1.0278,50.8028,0
special-high-gpt-5-nano,zero-shot,CWE-78,0.9045,126,31,94,0,0.8765,0.8025,1,0.8905,597.3347,8190.9801,15.0558,0.0033,0.8314,40.4681,0
special-high-gpt-5-nano,zero-shot,CWE-89,1,272,67,165,0,0.8671,0.8024,1,0.8903,595.3095,7000.5079,16.0615,0.0028,1.4295,35.1878,0
special-high-gpt-5-nano,zero-shot,CWE-330,0.7702,195,114,161,23,0.7221,0.6311,0.8945,0.74,845.3813,12814.7343,17.213,0.0052,2.5513,62.0393,3
special-high-gpt-5-nano,zero-shot,CWE-90,1,27,6,26,0,0.8983,0.8182,1,0.9,829.2712,7789.5593,19.7458,0.0032,0.1867,38.7799,0
special-high-gpt-5-nano,zero-shot,CWE-79,1,244,26,183,2,0.9385,0.9037,0.9919,0.9457,455.9231,5787.5692,14.9516,0.0023,1.0664,30.0725,0
special-high-gpt-5-nano,zero-shot,CWE-614,1,10,0,31,26,0.6119,1,0.2778,0.4348,652.5373,9190.209,15.8209,0.0037,0.2489,46.0401,0
special-high-gpt-5-nano,zero-shot,CWE-643,1,14,2,18,1,0.9143,0.875,0.9333,0.9032,769.1429,9501.2571,15.4286,0.0038,0.1346,46.0836,0
special-high-gpt-5-nano,zero-shot,all,0.8724,1227,301,981,105,0.8447,0.803,0.9212,0.858,695.4862,8882.1546,16.6465,0.0036,9.3955,43.9886,3
special-low-gpt-5-mini,zero-shot,CWE-22,1,126,15,120,7,0.9179,0.8936,0.9474,0.9197,618.8619,321.9104,15.6791,0.0008,0.2224,10.4949,0
special-low-gpt-5-mini,zero-shot,CWE-328,0,107,40,67,22,0.7373,0.7279,0.8295,0.7754,858.4619,635.661,16.9958,0.0015,0.3587,14.0828,0
special-low-gpt-5-mini,zero-shot,CWE-327,0.9815,129,33,83,1,0.8618,0.7963,0.9923,0.8836,1039.8252,652.4878,18.3211,0.0016,0.394,13.1235,0
special-low-gpt-5-mini,zero-shot,CWE-78,1,124,20,105,2,0.9124,0.8611,0.9841,0.9185,597.3347,311.5857,14.1474,0.0008,0.201,9.8121,0
special-low-gpt-5-mini,zero-shot,CWE-89,1,272,47,185,0,0.9067,0.8527,1,0.9205,595.3095,296.381,15.0714,0.0008,0.389,10.6282,0
special-low-gpt-5-mini,zero-shot,CWE-330,0.8615,213,47,228,5,0.8945,0.8192,0.9771,0.8912,845.3813,532.5112,15.3022,0.0013,0.6443,13.5329,0
special-low-gpt-5-mini,zero-shot,CWE-90,1,27,9,23,0,0.8475,0.75,1,0.8571,829.2712,286.3729,16.5085,0.0008,0.048,8.4587,0
special-low-gpt-5-mini,zero-shot,CWE-79,1,246,26,183,0,0.9429,0.9044,1,0.9498,455.9231,252.0615,14.1758,0.0006,0.2941,7.3473,0
special-low-gpt-5-mini,zero-shot,CWE-614,1,19,1,30,17,0.7313,0.95,0.5278,0.6786,652.5373,525.3731,16.7761,0.0012,0.0836,18.8575,0
special-low-gpt-5-mini,zero-shot,CWE-643,1,15,1,19,0,0.9714,0.9375,1,0.9677,769.1429,332.8,13.5429,0.0009,0.031,8.5572,0
special-low-gpt-5-mini,zero-shot,all,0.8774,1278,239,1043,54,0.8879,0.8425,0.9595,0.8972,695.4862,407.5532,15.4679,0.001,2.6661,11.1939,0
special-low-gpt-5-nano,zero-shot,CWE-22,0.9665,129,50,85,4,0.7985,0.7207,0.9699,0.8269,618.8619,540.6567,14.5,0.0003,0.0678,20.4815,0
special-low-gpt-5-nano,zero-shot,CWE-328,0.1139,76,3,104,53,0.7627,0.962,0.5891,0.7308,858.4619,797.5593,15.1525,0.0004,0.0868,21.5013,0
special-low-gpt-5-nano,zero-shot,CWE-327,0.9632,129,34,82,1,0.8577,0.7914,0.9923,0.8805,1039.8252,795.5772,17.4228,0.0004,0.0928,22.8661,0
special-low-gpt-5-nano,zero-shot,CWE-78,0.5813,126,77,48,0,0.6932,0.6207,1,0.766,597.3347,485.7371,13.8327,0.0002,0.0577,20.1885,0
special-low-gpt-5-nano,zero-shot,CWE-89,1,272,147,85,0,0.7083,0.6492,1,0.7873,595.3095,395.4286,14.4484,0.0002,0.0976,19.5738,0
special-low-gpt-5-nano,zero-shot,CWE-330,0.7393,179,55,220,39,0.8093,0.765,0.8211,0.792,845.3813,733.9878,14.8276,0.0003,0.1685,22.1036,0
special-low-gpt-5-nano,zero-shot,CWE-90,1,26,20,12,1,0.6441,0.5652,0.963,0.7123,829.2712,439.322,16.2712,0.0002,0.0132,22.9773,0
special-low-gpt-5-nano,zero-shot,CWE-79,1,232,56,153,14,0.8462,0.8056,0.9431,0.8689,455.9231,462.6286,14.2659,0.0002,0.0972,20.342,0
special-low-gpt-5-nano,zero-shot,CWE-614,1,10,1,30,26,0.597,0.9091,0.2778,0.4255,652.5373,734.5672,13.9403,0.0003,0.0222,23.459,0
special-low-gpt-5-nano,zero-shot,CWE-643,1,15,12,8,0,0.6571,0.5556,1,0.7143,769.1429,521.1429,14.2857,0.0003,0.0088,23.9283,0
special-low-gpt-5-nano,zero-shot,all,0.8617,1194,455,827,138,0.7731,0.7241,0.8964,0.8011,695.4862,579.8684,14.8037,0.0003,0.7127,21.0553,0
special-low-gpt-5,zero-shot,CWE-22,1,105,8,127,28,0.8657,0.9292,0.7895,0.8537,618.8619,761.0746,14.9552,0.0085,2.2871,25.5757,0
special-low-gpt-5,zero-shot,CWE-328,0.2738,74,10,97,55,0.7246,0.881,0.5736,0.6948,858.4619,1154.4407,16.178,0.0128,3.0159,38.0793,0
special-low-gpt-5,zero-shot,CWE-327,1,124,26,90,6,0.8699,0.8267,0.9538,0.8857,1039.8252,1207.935,16.7073,0.0135,3.3324,39.3665,0
special-low-gpt-5,zero-shot,CWE-78,1,111,15,110,15,0.8805,0.881,0.881,0.881,597.3347,728.7331,14.1434,0.0082,2.052,24.4034,0
special-low-gpt-5,zero-shot,CWE-89,1,272,29,203,0,0.9425,0.9037,1,0.9494,595.3095,631.2381,14.1726,0.0072,3.6279,21.6197,0
special-low-gpt-5,zero-shot,CWE-330,0.2479,109,8,267,109,0.7627,0.9316,0.5,0.6507,845.3813,1141.355,12.6876,0.0126,6.2104,36.7589,0
special-low-gpt-5,zero-shot,CWE-90,1,27,7,25,0,0.8814,0.7941,1,0.8852,829.2712,580.339,14.5763,0.007,0.4122,20.7985,0
special-low-gpt-5,zero-shot,CWE-79,1,246,23,186,0,0.9495,0.9145,1,0.9553,455.9231,422.9626,13.6857,0.0049,2.2461,15.088,0
special-low-gpt-5,zero-shot,CWE-614,1,30,1,30,6,0.8955,0.9677,0.8333,0.8955,652.5373,909.3731,13.194,0.01,0.6728,30.5629,0
special-low-gpt-5,zero-shot,CWE-643,1,15,1,19,0,0.9714,0.9375,1,0.9677,769.1429,650.9714,13.3714,0.0076,0.2662,22.5885,0
special-low-gpt-5,zero-shot,all,0.8799,1113,128,1154,219,0.8673,0.8969,0.8356,0.8651,695.4862,821.619,14.2781,0.0092,24.1229,27.3907,0
